id,x,y,z,size,time,r,g,b
0,54.1667744,52.69407147,53.38995433,5,0,229,45,32
1,51.60710929,52.59073556,54.82982764,5,0,229,45,32
2,47.39019958,48.66444412,47.08646076,5,0,229,45,32
3,52.36937404,47.20355889,46.38403177,5,0,229,45,32
4,49.96147912,51.561422,46.4128231,5,0,229,45,32
5,46.06330789,54.96367899,52.1435584,5,0,229,45,32
6,44.88328128,51.59329681,50.88123988,5,0,229,45,32
7,45.54768982,51.67890537,44.97698345,5,0,229,45,32
8,52.9260122,52.21186109,49.41416251,5,0,229,45,32
9,50.48097265,47.73948786,48.51562048,5,0,229,45,32
0,21.58896266,95.86484661,30.78109868,3,0,247,204,49
1,37.35568146,93.8474629,58.41085551,3,0,247,204,49
2,8.10714573,52.21902427,55.48703878,3,0,247,204,49
3,18.84137117,79.62188081,71.92613135,3,0,247,204,49
4,82.79609536,89.14958512,48.3489276,3,0,247,204,49
5,77.44597201,78.42639889,75.97846534,3,0,247,204,49
6,79.66464465,71.32439497,31.44458443,3,0,247,204,49
7,41.12925314,98.30749656,14.27678051,3,0,247,204,49
8,45.54640637,58.91784599,71.57648685,3,0,247,204,49
9,35.63699932,96.69342729,49.26548977,3,0,247,204,49
10,53.23904003,18.75961862,24.07267192,3,0,247,204,49
11,3.27484936,93.76232973,85.97470254,3,0,247,204,49
12,89.14464536,98.40259785,82.25008312,3,0,247,204,49
13,14.67566581,36.37231817,28.43993649,3,0,247,204,49
14,78.27744143,15.52198141,10.28492213,3,0,247,204,49
15,65.2656964,76.60675914,91.33143192,3,0,247,204,49
16,80.50026545,67.73078251,23.79963483,3,0,247,204,49
17,9.42659505,75.01539509,82.2246123,3,0,247,204,49
18,89.88512032,56.02864947,59.86059433,3,0,247,204,49
19,67.16580942,83.26847523,35.20704956,3,0,247,204,49
20,28.63972914,13.63986288,62.14360538,3,0,247,204,49
21,89.76011494,68.56162882,68.66068832,3,0,247,204,49
22,78.30314144,66.65692021,65.70582154,3,0,247,204,49
23,80.15810886,76.62141327,57.4477389,3,0,247,204,49
24,35.99490672,12.66382154,42.7685914,3,0,247,204,49
