id,x,y,z,size,time,r,g,b
25,67.46632359,74.97686162,78.17819204,3,0,247,204,49
26,1.34184078,12.49226796,96.15491104,3,0,247,204,49
27,13.08032106,87.53671649,61.02607668,3,0,247,204,49
28,19.09130082,80.28733893,80.6066272,3,0,247,204,49
29,17.97410246,20.34473635,57.63536702,3,0,247,204,49
30,67.97646949,9.47721531,95.41869295,3,0,247,204,49
31,6.32342666,43.72272655,2.46801848,3,0,247,204,49
32,51.99004714,57.73803152,63.35428543,3,0,247,204,49
33,49.0419443,68.71050163,49.89465035,3,0,247,204,49
34,31.73927081,70.79362869,13.18081972,3,0,247,204,49
35,68.04948962,63.69534393,58.91516885,3,0,247,204,49
36,63.1855214,42.54690134,5.73198385,3,0,247,204,49
37,38.94113167,84.35217427,25.87886146,3,0,247,204,49
38,26.16622701,5.71949365,88.91069173,3,0,247,204,49
39,72.02208183,90.6742054,34.33256035,3,0,247,204,49
40,22.29486673,42.24889681,28.20730038,3,0,247,204,49
41,26.40726036,28.48292692,18.36436816,3,0,247,204,49
42,29.31202007,45.38685371,23.86006096,3,0,247,204,49
43,39.75166348,1.28566023,21.53714085,3,0,247,204,49
44,54.16178015,13.01856637,39.13667792,3,0,247,204,49
45,16.64171985,88.85537135,49.0934213,3,0,247,204,49
46,45.88831849,72.47470833,61.88374843,3,0,247,204,49
47,55.67744868,77.42019687,19.73360281,3,0,247,204,49
48,43.25123029,39.242339,31.67804158,3,0,247,204,49
49,80.30577721,62.22461063,6.0914726,3,0,247,204,49
0,52.32515213,52.58065247,52.31129433,5,0,229,45,32
1,51.09126874,49.16337409,50.81489288,5,0,229,45,32
2,45.07972239,54.34103117,52.06935394,5,0,229,45,32
3,52.05785752,49.71949422,47.77091972,5,0,229,45,32
4,51.09612662,46.47004547,45.1899863,5,0,229,45,32
5,48.4307451,48.83335218,46.80795581,5,0,229,45,32
6,52.06522021,49.24875211,45.67789704,5,0,229,45,32
7,50.60193202,48.58695849,54.32067846,5,0,229,45,32
8,52.35424457,47.76421718,46.71039335,5,0,229,45,32
9,50.78649105,49.25818086,49.21333889,5,0,229,45,32
0,17.41497175,38.36577726,83.06671194,3,0,247,204,49
1,78.78059251,8.94714999,52.98009976,3,0,247,204,49
2,53.99122548,33.54453718,61.60883741,3,0,247,204,49
3,48.07750844,83.65700745,84.36192398,3,0,247,204,49
4,67.46588554,21.49429758,49.12408633,3,0,247,204,49
5,37.91174138,43.8684996,53.1768848,3,0,247,204,49
6,44.1839953,80.52742567,9.06274724,3,0,247,204,49
7,23.23344816,64.51611245,51.02613319,3,0,247,204,49
8,98.02939688,49.44469804,38.74101173,3,0,247,204,49
9,18.6075323,25.82772831,3.81454703,3,0,247,204,49
10,47.45478107,89.83601693,30.78959945,3,0,247,204,49
11,40.67761521,91.65375248,6.05104835,3,0,247,204,49
12,74.13298831,80.26631287,69.30529482,3,0,247,204,49
13,83.47126089,78.20387409,24.46079801,3,0,247,204,49
14,57.60042041,8.52100297,16.09434367,3,0,247,204,49
15,14.91677737,88.09126418,54.18447894,3,0,247,204,49
16,48.13768918,19.71274277,31.18490161,3,0,247,204,49
17,50.87846217,74.78677684,38.61586613,3,0,247,204,49
18,4.63534023,10.842953,60.86228299,3,0,247,204,49
19,60.41255962,94.16679697,39.91064514,3,0,247,204,49
20,64.22928192,23.86193539,78.6644303,3,0,247,204,49
21,16.54342232,98.00427413,59.05413177,3,0,247,204,49
22,55.45200379,85.37254085,12.31141786,3,0,247,204,49
23,25.43555513,72.62038881,77.86300129,3,0,247,204,49
24,63.85876911,73.59466942,54.88009255,3,0,247,204,49
25,40.90519214,8.68938023,3.13116092,3,0,247,204,49
26,73.0031925,30.14337887,48.47446153,3,0,247,204,49
27,28.94180674,25.18413201,83.19513308,3,0,247,204,49
28,4.65343601,38.29738451,57.68893404,3,0,247,204,49
29,1.59425029,13.32460739,94.96108463,3,0,247,204,49
30,75.08408318,37.88049301,49.18615909,3,0,247,204,49
31,34.48239678,64.09283092,3.00980919,3,0,247,204,49
32,14.09909945,13.0758132,44.71539488,3,0,247,204,49
33,82.20652926,57.57031113,34.40926959,3,0,247,204,49
34,10.5365314,28.43824837,48.19799064,3,0,247,204,49
35,69.29731367,40.96413933,38.25813316,3,0,247,204,49
36,3.13267618,59.13504224,14.36680814,3,0,247,204,49
37,34.26673657,50.4216825,24.75622205,3,0,247,204,49
38,26.52690554,25.03836703,83.81006237,3,0,247,204,49
39,7.72399146,76.19924038,93.13571506,3,0,247,204,49
40,29.12072633,65.76593076,30.28646202,3,0,247,204,49
41,60.70066164,87.56316232,81.64503453,3,0,247,204,49
42,24.19862946,27.8585408,60.16435595,3,0,247,204,49
43,21.84132895,31.08687696,3.48527338,3,0,247,204,49
44,80.82148105,44.114827,85.77007346,3,0,247,204,49
45,43.81739508,27.96834237,56.2752866,3,0,247,204,49
46,2.94324938,50.27496148,57.58994236,3,0,247,204,49
47,21.34285226,52.51786157,81.98938493,3,0,247,204,49
48,12.68387459,58.31689579,60.47168284,3,0,247,204,49
49,85.61438063,95.05467449,58.57598151,3,0,247,204,49
0,51.59967741,53.10774071,51.86872861,5,1,229,45,32
1,50.50428755,48.35546379,50.76260481,5,1,229,45,32
2,45.78170923,53.83100788,52.56643616,5,1,229,45,32
3,52.57597097,50.4326162,47.29867455,5,1,229,45,32
4,50.30425998,47.04537026,45.39479987,5,1,229,45,32
5,47.84985479,48.03382526,46.96067501,5,1,229,45,32
6,52.83738235,48.68774348,45.37950978,5,1,229,45,32
7,51.13633049,49.32249488,54.73709712,5,1,229,45,32
8,51.62876985,48.29130543,46.26782764,5,1,229,45,32
9,50.19950986,48.45027057,49.16105081,5,1,229,45,32
0,18.02935241,38.63180424,82.32390238,3,1,247,204,49
1,78.15392434,9.72348979,52.91239818,3,1,247,204,49
2,54.16181113,32.76960324,62.21742424,3,1,247,204,49
3,48.01976817,82.96966949,83.6378849,3,1,247,204,49
4,66.85761425,22.28799936,49.13068443,3,1,247,204,49
5,37.03920099,43.47359124,53.46449676,3,1,247,204,49
6,44.20563177,79.92926484,9.86383118,3,1,247,204,49
7,22.32920199,64.93771557,50.95838598,3,1,247,204,49
8,97.04920419,49.46402069,38.93811305,3,1,247,204,49
9,19.04769459,26.21566825,4.62433698,3,1,247,204,49
10,47.40222736,88.93312153,31.21623513,3,1,247,204,49
11,40.75239387,90.96688891,6.77397752,3,1,247,204,49
12,73.50430932,79.61978552,68.87313152,3,1,247,204,49
13,82.75463842,77.6851332,24.92701697,3,1,247,204,49
14,57.37396205,9.28385577,16.69996089,3,1,247,204,49
15,15.54014644,87.31559,54.08578469,3,1,247,204,49
16,48.05472268,20.57021813,31.69269346,3,1,247,204,49
17,50.66861738,73.8930099,39.01228234,3,1,247,204,49
18,5.33612719,11.52824972,60.66412638,3,1,247,204,49
19,60.08974833,93.24190677,40.1115705,3,1,247,204,49
20,63.79491526,24.46784238,77.99794525,3,1,247,204,49
21,17.05142618,97.16015366,58.88268875,3,1,247,204,49
22,55.25391279,84.70066844,13.02510366,3,1,247,204,49
23,25.91533713,72.08126217,77.17079344,3,1,247,204,49
24,64.36069522,74.45101785,55.0014908,3,1,247,204,49
25,40.97339191,9.3578706,3.87174812,3,1,247,204,49
26,72.1958889,30.73289696,48.50146722,3,1,247,204,49
27,29.41956175,25.69747354,82.48223013,3,1,247,204,49
28,5.59326362,38.57979658,57.49666475,3,1,247,204,49
29,2.18975078,13.83227322,94.33846551,3,1,247,204,49
30,74.16257966,38.26881057,49.1925429,3,1,247,204,49
31,34.69834385,63.81792409,3.94671532,3,1,247,204,49
32,14.73519648,13.84143705,44.81131511,3,1,247,204,49
33,81.29388833,57.39569155,34.77885658,3,1,247,204,49
34,11.37979188,28.97494939,48.22738081,3,1,247,204,49
35,70.14044303,40.62110986,37.84405145,3,1,247,204,49
36,3.89157146,58.97902599,14.99905562,3,1,247,204,49
37,34.67231555,50.42398623,25.67027915,3,1,247,204,49
38,26.84007475,25.61261508,83.05364699,3,1,247,204,49
39,8.31829926,75.79162743,92.44242585,3,1,247,204,49
40,29.67014299,65.24425313,30.939144,3,1,247,204,49
41,60.40007043,86.84335496,81.01931712,3,1,247,204,49
42,24.84142057,28.5502974,59.83527785,3,1,247,204,49
43,22.2864697,31.48380701,4.28795405,3,1,247,204,49
44,80.12732066,44.23907699,85.06105774,3,1,247,204,49
45,43.52908385,27.06888994,56.60371007,3,1,247,204,49
46,3.92500786,50.27968117,57.39986864,3,1,247,204,49
47,21.93324202,52.46743661,81.18384334,3,1,247,204,49
48,13.60687238,58.09456974,60.15760291,3,1,247,204,49
49,84.95077886,94.32197095,58.42505701,3,1,247,204,49
0,51.88540624,52.22835777,52.24957594,5,2,229,45,32
1,51.38444839,48.64144539,50.3837494,5,2,229,45,32
2,45.47437262,54.77689271,52.46229156,5,2,229,45,32
3,51.75196689,50.16488104,47.79800927,5,2,229,45,32
4,50.5735999,46.21642723,44.90458618,5,2,229,45,32
5,48.78939724,48.33910111,47.11580929,5,2,229,45,32
6,52.5409607,49.60003549,45.66210046,5,2,229,45,32
7,50.24237556,49.03203132,54.39581204,5,2,229,45,32
8,51.91449868,47.41192249,46.64867496,5,2,229,45,32
9,51.0796707,48.73625216,48.78219541,5,2,229,45,32
0,18.6430696,38.89888198,81.58092143,3,2,247,204,49
1,77.52699195,10.49965747,52.84517078,3,2,247,204,49
2,54.30260852,32.01139846,62.85405726,3,2,247,204,49
3,47.9608167,82.28254512,82.91374071,3,2,247,204,49
4,66.24876282,23.08125189,49.13778093,3,2,247,204,49
5,36.163853,43.08367866,53.75038849,3,2,247,204,49
6,44.22606287,79.33176899,10.66544286,3,2,247,204,49
7,23.17908947,64.41286282,50.91125994,3,2,247,204,49
8,96.06919138,49.48183248,39.13624843,3,2,247,204,49
9,19.49017398,26.60177219,5.43374153,3,2,247,204,49
10,47.35333445,88.02995532,31.64273283,3,2,247,204,49
11,40.82966536,90.27965607,7.49629335,3,2,247,204,49
12,72.87827702,78.97057816,68.44114384,3,2,247,204,49
13,82.04023694,77.16423614,25.39423937,3,2,247,204,49
14,57.14994108,10.04623618,17.30707761,3,2,247,204,49
15,16.16456567,86.54063299,53.98810022,3,2,247,204,49
16,47.97577044,21.42685549,32.20253556,3,2,247,204,49
17,50.88601011,74.68554011,38.44251374,3,2,247,204,49
18,6.0382514,12.21217723,60.46597302,3,2,247,204,49
19,59.77019926,92.31582892,40.3122399,3,2,247,204,49
20,63.36418636,25.07484811,77.33010047,3,2,247,204,49
21,17.56191212,96.31759335,58.71094407,3,2,247,204,49
22,55.0590322,84.0282573,13.73916585,3,2,247,204,49
23,26.39831936,71.54379819,76.4795188,3,2,247,204,49
24,63.75710304,73.67353626,54.8248588,3,2,247,204,49
25,41.04342105,10.02591653,4.61256562,3,2,247,204,49
26,71.38831514,31.32210454,48.52713919,3,2,247,204,49
27,29.89665891,26.20967062,81.76806457,3,2,247,204,49
28,6.53367935,38.85967195,57.30356367,3,2,247,204,49
29,2.78629594,14.33843106,93.71561873,3,2,247,204,49
30,75.06074666,37.84831984,49.32093137,3,2,247,204,49
31,34.91870368,63.54052317,4.88185717,3,2,247,204,49
32,15.3754872,14.60367743,44.90627512,3,2,247,204,49
33,80.38239116,57.21682437,35.14923401,3,2,247,204,49
34,12.22616459,29.50678871,48.25566801,3,2,247,204,49
35,70.97977962,40.27523609,37.42466449,3,2,247,204,49
36,4.6523277,58.82104265,15.62857227,3,2,247,204,49
37,35.08593127,50.42101968,26.58072587,3,2,247,204,49
38,27.15834436,26.18340473,82.29674301,3,2,247,204,49
39,8.91417937,75.38333962,91.75088557,3,2,247,204,49
40,30.22459925,64.72097083,31.58625597,3,2,247,204,49
41,60.1044265,86.12166467,80.39341153,3,2,247,204,49
42,25.49026047,29.23605003,59.50550502,3,2,247,204,49
43,22.73567531,31.87813633,5.08965144,3,2,247,204,49
44,79.43581776,44.36101444,84.34905002,3,2,247,204,49
45,43.22405579,26.17772611,56.93954471,3,2,247,204,49
46,4.90678024,50.2811497,57.20981382,3,2,247,204,49
47,22.52688601,52.41378891,80.38090577,3,2,247,204,49
48,14.52968066,57.86996993,59.84458565,3,2,247,204,49
49,84.29057284,93.5863936,58.27322165,3,2,247,204,49
0,52.17113508,53.10774071,51.86872861,5,3,229,45,32
1,50.49049346,48.93190895,50.72503448,5,3,229,45,32
2,45.17795097,53.8646007,52.17970088,5,3,229,45,32
3,52.69150934,49.8596052,47.64287499,5,3,229,45,32
4,50.84293981,47.04537026,45.39479987,5,3,229,45,32
5,47.96539316,48.60683627,46.61647457,5,3,229,45,32
6,52.23362409,48.65415066,45.76624506,5,3,229,45,32
7,51.12253641,48.74604972,54.77466745,5,3,229,45,32
8,52.20022752,48.29130543,46.26782764,5,3,229,45,32
9,50.18571578,49.02671573,49.12348049,5,3,229,45,32
0,19.26024977,39.16182345,80.83933501,3,3,247,204,49
1,76.90159282,11.27695127,52.77668516,3,3,247,204,49
2,54.44383347,31.2487294,63.48523981,3,3,247,204,49
3,47.90721759,81.59414653,82.19039119,3,3,247,204,49
4,65.64242058,23.8764355,49.1434478,3,3,247,204,49
5,35.29146973,42.6874745,54.03669199,3,3,247,204,49
6,44.25147419,78.73197003,11.46518999,3,3,247,204,49
7,22.27629258,64.83904734,50.85360121,3,3,247,204,49
8,95.08899667,49.49920023,39.33352156,3,3,247,204,49
9,19.93342304,26.98778187,6.24276984,3,3,247,204,49
10,47.30498192,87.12617887,32.06799764,3,3,247,204,49
11,40.90738607,89.59179104,8.21795891,3,3,247,204,49
12,72.25309321,78.32119688,68.00818985,3,3,247,204,49
13,81.32589283,76.64259346,25.86071704,3,3,247,204,49
14,56.92614264,10.80896626,17.91383711,3,3,247,204,49
15,16.78898336,85.76580798,53.8893644,3,3,247,204,49
16,47.89732061,22.28407721,32.71147225,3,3,247,204,49
17,50.68051073,73.79989343,38.85892694,3,3,247,204,49
18,6.74222913,12.89434408,60.26832753,3,3,247,204,49
19,59.45165229,91.38949799,40.51333395,3,3,247,204,49
20,62.93097307,25.6788358,76.66112728,3,3,247,204,49
21,18.07034313,95.47344332,58.54091869,3,3,247,204,49
22,54.8643744,83.35407288,14.45161495,3,3,247,204,49
23,26.87971898,71.0013245,75.79105914,3,3,247,204,49
24,64.23613212,74.54298157,54.94567273,3,3,247,204,49
25,41.11508447,10.69278894,5.35428358,3,3,247,204,49
26,70.58153871,31.91224683,48.5561889,3,3,247,204,49
27,30.37361829,26.72286396,81.05452245,3,3,247,204,49
28,7.47501822,39.13839613,57.11331653,3,3,247,204,49
29,3.38442258,14.84428713,93.09404479,3,3,247,204,49
30,74.14051984,38.23966111,49.3150482,3,3,247,204,49
31,35.13641186,63.26481108,5.81811888,3,3,247,204,49
32,16.01343051,15.36764465,45.00313797,3,3,247,204,49
33,79.47083141,57.04047633,35.52066394,3,3,247,204,49
34,13.07074017,30.04134893,48.28628605,3,3,247,204,49
35,71.82393549,39.91069616,37.03158497,3,3,247,204,49
36,5.41151648,58.66422454,16.26026878,3,3,247,204,49
37,34.49207372,50.53040798,25.7836265,3,3,247,204,49
38,27.47217526,26.75603038,81.53937255,3,3,247,204,49
39,9.50830713,74.97546564,91.05759558,3,3,247,204,49
40,30.77505797,64.19760418,32.23670392,3,3,247,204,49
41,59.80509943,85.40172684,79.76723838,3,3,247,204,49
42,26.13391467,29.92603361,59.1743979,3,3,247,204,49
43,23.18202324,32.27431898,5.89203093,3,3,247,204,49
44,78.74266926,44.48418088,83.63885625,3,3,247,204,49
45,42.90553524,25.24494232,57.10824284,3,3,247,204,49
46,5.88823446,50.28454064,57.01814716,3,3,247,204,49
47,23.11692945,52.36208699,79.5751914,3,3,247,204,49
48,15.45183585,57.64655125,59.52881058,3,3,247,204,49
49,83.62802873,92.85299686,58.12102266,3,3,247,204,49
0,51.44566035,52.58065247,52.31129433,5,4,229,45,32
1,51.02489193,48.19637256,50.30861582,5,4,229,45,32
2,45.95011311,54.42560933,52.47808814,5,4,229,45,32
3,52.11061903,50.65913212,47.49015579,5,4,229,45,32
4,50.05107317,46.47004547,45.1899863,5,4,229,45,32
5,48.4835066,47.89371429,47.08871974,5,4,229,45,32
6,52.93561093,49.16417395,45.26916284,5,4,229,45,32
7,50.53555522,49.55396002,54.82695552,5,4,229,45,32
8,51.47475279,47.76421718,46.71039335,5,4,229,45,32
9,50.72011424,48.29117934,48.70706183,5,4,229,45,32
0,19.87395642,39.42710387,80.09570174,3,4,247,204,49
1,76.27469177,12.05299918,52.70780325,3,4,247,204,49
2,54.61377167,30.48449052,64.10738123,3,4,247,204,49
3,47.84940996,80.90718386,81.4660014,3,4,247,204,49
4,65.03351227,24.66966235,49.1481211,3,4,247,204,49
5,34.41726064,42.29613329,54.32411246,3,4,247,204,49
6,44.27290699,78.13285923,12.2655692,3,4,247,204,49
7,23.12752707,64.31636978,50.80661172,3,4,247,204,49
8,94.10869275,49.51580696,39.53031699,3,4,247,204,49
9,20.37746763,27.37329287,7.05159965,3,4,247,204,49
10,47.2573626,86.22190358,32.49228362,3,4,247,204,49
11,40.98559917,88.90331992,8.93899304,3,4,247,204,49
12,71.6288828,77.67121619,67.57473113,3,4,247,204,49
13,80.61191368,76.12002076,26.32671226,3,4,247,204,49
14,56.70265957,11.57175084,18.52064433,3,4,247,204,49
15,17.41332586,84.99099434,53.79006554,3,4,247,204,49
16,47.81963754,23.14143724,33.22029356,3,4,247,204,49
17,50.74571533,74.68327191,38.39482478,3,4,247,204,49
18,7.44497561,13.57721605,60.06874484,3,4,247,204,49
19,59.13316643,90.46263672,40.71206729,3,4,247,204,49
20,62.50141436,26.28460216,75.99140613,3,4,247,204,49
21,18.58091607,94.63119802,58.36789229,3,4,247,204,49
22,54.67024161,82.68021262,15.16451383,3,4,247,204,49
23,27.36252694,70.46418824,75.09940814,3,4,247,204,49
24,63.63952614,73.76023802,54.76854612,3,4,247,204,49
25,41.18591551,11.36095899,6.09491288,3,4,247,204,49
26,71.31824183,31.24453783,48.66311513,3,4,247,204,49
27,30.84733232,27.23401617,80.33736247,3,4,247,204,49
28,8.41636256,39.41407221,56.91870532,3,4,247,204,49
29,3.98244625,15.34802606,92.47065505,3,4,247,204,49
30,75.03743468,37.8202569,49.45520482,3,4,247,204,49
31,35.35998669,62.98431797,6.7515737,3,4,247,204,49
32,16.65728349,16.12708482,45.09643303,3,4,247,204,49
33,78.55994315,56.85699694,35.89028251,3,4,247,204,49
34,13.91999869,30.56867874,48.3124248,3,4,247,204,49
35,72.67309546,39.54820584,36.64749108,3,4,247,204,49
36,6.17383284,58.50377598,16.88726959,3,4,247,204,49
37,34.93350489,50.5099181,26.68068764,3,4,247,204,49
38,27.79698771,27.3232833,80.78258922,3,4,247,204,49
39,10.10592252,74.56584794,90.36834294,3,4,247,204,49
40,31.33325401,63.672733,32.87929822,3,4,247,204,49
41,59.5139996,84.67743605,79.14220738,3,4,247,204,49
42,26.7895398,30.60583779,58.84573094,3,4,247,204,49
43,23.63465937,32.66528046,6.6934482,3,4,247,204,49
44,78.0529904,44.60338516,82.92462,,3,4,247,204,49
45,43.02848206,26.19584276,56.82421391,3,4,247,204,49
46,6.87017894,50.28524106,56.82897908,3,4,247,204,49
47,23.71463178,52.30784303,78.77531046,3,4,247,204,49
48,16.37550275,57.42264466,59.21783581,3,4,247,204,49
49,82.97043502,92.11519412,57.96864937,3,4,247,204,49
0,52.44566035,52.58065247,52.31129433,5,5,229,45,32
1,51.02489193,49.07372776,50.78845731,5,5,229,45,32
2,45.05568592,54.42560933,52.03087454,5,5,229,45,32
3,52.11061903,49.6915939,47.74288052,5,5,229,45,32
4,51.05107317,46.47004547,45.1899863,5,5,229,45,32
5,48.4835066,48.86125251,46.83599501,5,5,229,45,32
6,52.04118373,49.16417395,45.71637644,5,5,229,45,32
7,50.53555522,48.67660482,54.34711403,5,5,229,45,32
8,52.47475279,47.76421718,46.71039335,5,5,229,45,32
9,50.72011424,49.16853454,49.18690332,5,5,229,45,32
0,20.49477727,39.68836427,79.35656407,3,5,247,204,49
1,75.65199746,12.83242231,52.63887303,3,5,247,204,49
2,54.75911077,29.69741591,64.70687277,3,5,247,204,49
3,47.80127173,80.21833958,80.74269215,3,5,247,204,49
4,64.43160102,25.46820691,49.15354555,3,5,247,204,49
5,33.5425243,41.90265758,54.60697851,3,5,247,204,49
6,44.30351597,77.53260491,13.06479248,3,5,247,204,49
7,22.21457232,64.7205114,50.7501921,3,5,247,204,49
8,93.12863071,49.53265098,39.72829347,3,5,247,204,49
9,20.82447146,27.75822091,7.85907596,3,5,247,204,49
10,47.21501769,85.31764878,32.91717204,3,5,247,204,49
11,41.06746168,88.21529876,9.66005158,3,5,247,204,49
12,71.00750999,77.01920324,67.14024874,3,5,247,204,49
13,79.90007554,75.59609633,26.79446181,3,5,247,204,49
14,56.48314759,12.33511808,19.12816795,3,5,247,204,49
15,18.04063211,84.21848681,53.69148061,3,5,247,204,49
16,47.74871575,23.99902074,33.72972524,3,5,247,204,49
17,50.56536758,73.78863587,38.80360474,3,5,247,204,49
18,8.15156419,14.25675672,59.87136943,3,5,247,204,49
19,58.82002287,89.53444258,40.91305673,3,5,247,204,49
20,62.07313285,26.88942898,75.32001989,3,5,247,204,49
21,19.09245689,93.78887883,58.1981149,3,5,247,204,49
22,54.4806111,82.0047621,15.87711951,3,5,247,204,49
23,27.84866745,69.92279137,74.41343669,3,5,247,204,49
24,64.09563767,74.6448227,54.86587137,3,5,247,204,49
25,41.26182517,12.02742529,6.83657345,3,5,247,204,49
26,70.51936251,31.84585197,48.67771491,3,5,247,204,49
27,31.32054815,27.74948662,79.62296973,3,5,247,204,49
28,9.35780867,39.69267384,56.72880967,3,5,247,204,49
29,4.58178817,15.85346337,91.84991163,3,5,247,204,49
30,75.94582388,37.41913126,49.57321867,3,5,247,204,49
31,35.58347701,62.7087121,7.68650337,3,5,247,204,49
32,17.29896033,16.88799812,45.19267116,3,5,247,204,49
33,77.64960857,56.6792516,36.26404385,3,5,247,204,49
34,14.76676395,31.0997894,48.34259196,3,5,247,204,49
35,73.53287525,39.20754667,36.26705706,3,5,247,204,49
36,6.93538243,58.34741135,17.5162309,3,5,247,204,49
37,34.32499479,50.62844461,25.89604318,3,5,247,204,49
38,28.11849301,27.89387639,80.02690551,3,5,247,204,49
39,10.70280573,74.15906784,89.67677922,3,5,247,204,49
40,31.89129072,63.15224576,33.52558613,3,5,247,204,49
41,59.21991758,83.95645036,78.51475588,3,5,247,204,49
42,27.43826647,31.29165977,58.51587959,3,5,247,204,49
43,24.08521789,33.06045613,7.49396879,3,5,247,204,49
44,77.36302301,44.72691482,82.21139815,3,5,247,204,49
45,42.70079627,25.29263355,57.10140546,3,5,247,204,49
46,7.85196041,50.28584349,56.63896652,3,5,247,204,49
47,24.30910289,52.25334755,77.97304221,3,5,247,204,49
48,17.29825384,57.19742832,58.90509309,3,5,247,204,49
49,82.31120684,91.37878816,57.81658203,3,5,247,204,49
0,51.72018563,53.10774071,51.86872861,5,6,229,45,32
1,50.43791074,48.26581747,50.73616924,5,6,229,45,32
2,45.75767275,53.91558604,52.52795676,5,6,229,45,32
3,52.62873247,50.40471587,47.27063535,5,6,229,45,32
4,50.25920652,47.04537026,45.39479987,5,6,229,45,32
5,47.9026163,48.06172559,46.98871421,5,6,229,45,32
6,52.81334587,48.60316532,45.41798919,5,6,229,45,32
7,51.06995369,49.41214121,54.76353269,5,6,229,45,32
8,51.74927807,48.29130543,46.26782764,5,6,229,45,32
9,50.13313306,48.36062424,49.13461525,5,6,229,45,32
0,21.11285805,39.95026049,78.61535795,3,6,247,204,49
1,75.02704022,13.61004405,52.57007717,3,6,247,204,49
2,54.93538501,28.88809433,65.26716374,3,6,247,204,49
3,47.74910937,79.52960839,80.01955425,3,6,247,204,49
4,63.825759,26.26377416,49.15885549,3,6,247,204,49
5,32.6694813,41.50864414,54.8942925,3,6,247,204,49
6,44.33026459,76.93219656,13.86403857,3,6,247,204,49
7,23.07000875,64.20436347,50.70753262,3,6,247,204,49
8,92.14856817,49.54702562,39.92646202,3,6,247,204,49
9,21.27263818,28.14104426,8.66690816,3,6,247,204,49
10,47.17393241,84.41277143,33.34085704,3,6,247,204,49
11,41.15005432,87.52618038,10.37997819,3,6,247,204,49
12,70.38801888,76.36504106,66.70631026,3,6,247,204,49
13,79.18964459,75.06999778,27.26191041,3,6,247,204,49
14,56.26411506,13.09762787,19.73694014,3,6,247,204,49
15,18.66721418,83.445358,53.59316104,3,6,247,204,49
16,47.6788524,24.85561006,34.24097259,3,6,247,204,49
17,50.58435088,74.66351543,38.31963636,3,6,247,204,49
18,8.85766888,14.93635222,59.67245705,3,6,247,204,49
19,58.50754302,88.60559388,41.11204528,3,6,247,204,49
20,61.64790799,27.49524251,74.64758121,3,6,247,204,49
21,19.60567913,92.94803383,58.0261189,3,6,247,204,49
22,54.29187481,81.32913694,16.58979704,3,6,247,204,49
23,28.33599043,69.38515195,73.72535227,3,6,247,204,49
24,63.51066986,73.85242828,54.69288657,3,6,247,204,49
25,41.33701394,12.69413758,7.57808634,3,6,247,204,49
26,71.23307098,31.15990701,48.81948851,3,6,247,204,49
27,31.79334512,28.25994865,78.90471382,3,6,247,204,49
28,10.30083701,39.9636298,56.53572832,3,6,247,204,49
29,5.18281412,16.35487702,91.22753541,3,6,247,204,49
30,75.02466813,37.80798488,49.55694177,3,6,247,204,49
31,35.80768256,62.4277042,8.61965203,3,6,247,204,49
32,17.9435459,17.64680667,45.28604686,3,6,247,204,49
33,76.73902395,56.49481594,36.63393456,3,6,247,204,49
34,15.61660592,31.62617513,48.36879675,3,6,247,204,49
